"Timestamp","Age group","Gender","Medium of School ","How difficult is it for you to understanding English conversation?
ఆంగ్ల సంభాషణను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult do you find it to speak English confidently while discussing passages or articles?
ప్యాసేజ్‌లు లేదా వ్యాసాల గురించి మాట్లాడేటప్పుడు, ఆత్మవిశ్వాసంతో ఇంగ్లీష్ మాట్లాడటం మీకు ఎంత కష్టం?","How difficult is it for you to write sentences in English?
మీకు ఆంగ్లంలో వాక్యాలు రాయడం ఎంత కష్టం?","How difficult is it for you to read and understand English passages or articles?
ఇంగ్లీష్ పేరాగ్రాఫ్‌లు లేదా వ్యాసాలను చదివి అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to use English due to the influence of your mother tongue (Telugu)?
మీ మాతృభాష (తెలుగు) ప్రభావం వల్ల మీకు ఇంగ్లీష్ ఉపయోగించడం ఎంత కష్టంగా ఉంటుంది?","How difficult is it for you to understand lectures in English?
ఇంగ్లీషులో ఉపన్యాసాలను అర్థం చేసుకోవడం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies without subtitles?
సబ్‌టైటిల్స్ లేకుండా ఇంగ్లీష్ సినిమాలు చూడటం మీకు ఎంత కష్టం?","How difficult is it for you to watch English movies even with subtitles?
సబ్‌టైటిల్స్‌తో చూసినప్పటికీ, మీకు ఇంగ్లీష్ సినిమాలు చూడటం ఎంత కష్టంగా ఉంటుంది?","How do you feel while learning English?
ఇంగ్లీష్ నేర్చుకునేటప్పుడు మీకు ఎలా అనిపిస్తుంది?","As a Telugu medium student, how difficult was it for you to switch to an English-Medium Curriculum in higher studies?
తెలుగు మాధ్యమంలో చదివిన విద్యార్థిగా, ఉన్నత విద్యలో ఆంగ్ల మాధ్యమ పాఠ్య ప్రణాళికకు మారడం మీకు ఎంత కష్టంగా అనిపించింది?","How difficult do you find it to work in other Indian states due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో పని చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to work in other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర దేశాలలో పనిచేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to study in other Indian states or other countries due to language differences?
భాషా భేదాల కారణంగా ఇతర భారతీయ రాష్ట్రాలలో లేదా ఇతర దేశాలలో చదువుకోవడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?","How difficult do you find it to make friends who have different native languages?
వేర్వేరు మాతృభాషలు ఉన్నవారితో స్నేహం చేయడం మీకు ఎంత కష్టంగా అనిపిస్తుంది?"
"2026/01/27 9:45:48 AM GMT+5:30","20-25","Male","English medium","2","3","4","3","3","2","4","3","2","5","4","4","3","3"
"2026/01/27 10:26:45 AM GMT+5:30","15-19","Male","English medium","1","2","3","3","4","4","4","4","2","2","2","2","3","2"
"2026/01/27 11:32:54 AM GMT+5:30","20-25","Male","English medium","1","2","3","1","2","3","3","3","2","3","3","3","3","2"
"2026/01/27 11:36:51 AM GMT+5:30","15-19","Male","English medium","2","3","2","2","2","1","3","2","2","2","3","3","3","2"
"2026/01/27 12:23:30 PM GMT+5:30","20-25","Male","English medium","3","5","3","4","5","3","5","4","3","5","5","5","4","4"
"2026/01/27 12:27:42 PM GMT+5:30","20-25","Male","English medium","3","3","1","1","2","3","3","3","1","3","3","3","3","2"
"2026/01/27 12:38:25 PM GMT+5:30","20-25","Male","English medium","3","4","2","4","3","3","4","4","5","3","3","4","3","4"
"2026/01/27 1:02:51 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","5","1","5","5","5","5","1","2"
"2026/01/27 1:21:39 PM GMT+5:30","20-25","Female","English medium","2","3","3","3","3","2","3","1","3","3","3","3","3","3"
"2026/01/27 1:58:43 PM GMT+5:30","20-25","Male","English medium","1","3","1","1","2","2","4","3","5","2","3","3","3","2"
"2026/01/27 2:07:24 PM GMT+5:30","15-19","Male","English medium","3","3","2","1","2","2","3","2","3","4","4","4","3","2"
"2026/01/27 2:34:20 PM GMT+5:30","20-25","Male","Both","2","2","1","2","2","2","4","3","2","3","2","2","2","2"
"2026/01/27 2:43:34 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","2","1","4","2","2","1","4","3","3","3"
"2026/01/27 3:02:49 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","2","1","1","3","1","2"
"2026/01/27 3:07:28 PM GMT+5:30","15-19","Male","English medium","1","2","1","2","2","1","2","1","3","1","1","1","1","3"
"2026/01/27 3:47:49 PM GMT+5:30","Above 25","Male","English medium","3","2","2","2","3","4","2","3","2","3","1","2","4","4"
"2026/01/27 3:47:50 PM GMT+5:30","15-19","Female","English medium","3","2","2","2","3","2","2","2","4","2","2","3","3","2"
"2026/01/27 4:29:19 PM GMT+5:30","20-25","Female","English medium","3","3","4","3","3","3","5","4","5","5","5","5","5","5"
"2026/01/27 4:41:35 PM GMT+5:30","15-19","Female","English medium","1","1","3","1","1","1","5","5","3","3","3","3","4","1"
"2026/01/27 4:42:18 PM GMT+5:30","15-19","Female","English medium","4","5","4","3","4","3","5","4","3","4","5","3","5","4"
"2026/01/27 4:42:31 PM GMT+5:30","15-19","Female","English medium","1","1","1","1","1","1","5","5","3","3","3","3","3","3"
"2026/01/27 4:43:14 PM GMT+5:30","15-19","Female","Telugu medium","3","3","1","2","4","4","5","4","3","4","4","3","5","3"
"2026/01/27 4:44:24 PM GMT+5:30","15-19","Female","Telugu medium","2","3","3","2","2","2","4","3","3","3","3","3","2","3"
"2026/01/27 4:52:03 PM GMT+5:30","Above 25","Male","Telugu medium","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2026/01/27 4:53:01 PM GMT+5:30","15-19","Male","Telugu medium","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2026/01/27 5:28:24 PM GMT+5:30","20-25","Male","Both","3","4","4","3","3","3","5","3","3","4","4","4","4","4"
"2026/01/27 6:07:38 PM GMT+5:30","20-25","Female","English medium","1","2","1","1","2","2","2","1","3","1","2","3","4","1"
"2026/01/27 6:09:28 PM GMT+5:30","20-25","Male","English medium","3","3","3","2","3","2","3","3","2","4","3","3","3","2"
"2026/01/27 6:17:20 PM GMT+5:30","15-19","Male","English medium","2","3","1","1","2","2","4","3","2","2","4","3","3","2"
"2026/01/27 6:25:36 PM GMT+5:30","15-19","Female","English medium","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/01/27 6:43:57 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","4","2","3","2"
"2026/01/27 7:16:30 PM GMT+5:30","10-14","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/27 7:31:36 PM GMT+5:30","Above 25","Male","English medium","1","3","3","1","3","3","4","1","4","3","2","1","1","1"
"2026/01/27 7:36:53 PM GMT+5:30","20-25","Female","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/27 7:37:25 PM GMT+5:30","20-25","Male","English medium","2","3","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/27 7:37:36 PM GMT+5:30","20-25","Male","English medium","1","3","3","3","3","3","2","3","3","3","3","3","3","3"
"2026/01/27 7:46:08 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/27 7:49:53 PM GMT+5:30","Above 25","Female","Telugu medium","1","1","1","1","1","1","2","2","2","4","1","2","2","2"
"2026/01/27 7:50:47 PM GMT+5:30","20-25","Male","English medium","2","3","2","2","3","2","3","1","2","2","3","2","2","3"
"2026/01/27 7:55:23 PM GMT+5:30","15-19","Female","English medium","2","2","2","4","2","3","2","4","1","4","3","3","3","3"
"2026/01/27 8:31:41 PM GMT+5:30","15-19","Female","English medium","1","2","4","3","5","3","5","5","5","3","3","3","3","1"
"2026/01/27 9:11:05 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","5","1","5","5","3","3"
"2026/01/28 12:38:58 AM GMT+5:30","20-25","Female","English medium","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"2026/01/28 10:19:36 AM GMT+5:30","15-19","Female","English medium","2","3","2","2","2","3","2","2","2","3","2","3","3","2"
"2026/01/28 10:20:27 AM GMT+5:30","15-19","Female","English medium","2","3","2","3","2","3","3","2","2","3","2","2","3","3"
"2026/01/28 10:21:48 AM GMT+5:30","15-19","Female","English medium","2","3","2","3","2","3","2","3","3","2","3","2","3","2"
"2026/01/28 10:22:07 AM GMT+5:30","15-19","Female","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/28 10:48:17 AM GMT+5:30","20-25","Male","English medium","1","1","2","1","2","2","3","2","2","3","4","5","4","3"
"2026/01/28 11:48:18 AM GMT+5:30","15-19","Male","English medium","2","2","2","2","2","2","2","2","2","2","5","5","5","5"
"2026/01/28 11:56:22 AM GMT+5:30","15-19","Female","English medium","1","2","1","2","2","1","3","1","2","1","2","2","2","1"
"2026/01/28 1:02:27 PM GMT+5:30","10-14","Male","English medium","3","3","4","4","4","4","4","4","3","4","3","3","4","3"
"2026/01/28 1:06:01 PM GMT+5:30","10-14","Male","English medium","3","3","4","3","3","4","4","3","3","4","4","4","4","3"
"2026/01/28 1:26:48 PM GMT+5:30","10-14","Female","English medium","4","4","4","4","3","4","4","4","3","3","4","4","4","3"
"2026/01/28 2:39:43 PM GMT+5:30","20-25","Male","English medium","4","4","4","5","3","3","4","3","3","3","4","3","3","4"
"2026/01/28 2:41:42 PM GMT+5:30","20-25","Male","English medium","2","3","3","2","2","2","2","1","4","3","2","2","2","2"
"2026/01/28 2:46:26 PM GMT+5:30","15-19","Male","English medium","1","2","4","1","1","2","3","1","2","3","1","2","1","2"
"2026/01/28 2:52:06 PM GMT+5:30","15-19","Female","English medium","3","3","3","4","4","3","4","3","3","5","4","4","4","4"
"2026/01/28 3:09:06 PM GMT+5:30","10-14","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/28 4:02:32 PM GMT+5:30","20-25","Male","English medium","1","2","2","2","2","1","3","1","1","1","2","2","2","1"
"2026/01/28 4:27:01 PM GMT+5:30","15-19","Male","Both","1","1","1","1","1","1","2","1","1","1","2","2","1","1"
"2026/01/28 5:12:37 PM GMT+5:30","15-19","Female","English medium","2","2","2","2","2","2","2","2","2","2","2","3","2","2"
"2026/01/28 5:18:49 PM GMT+5:30","15-19","Female","English medium","2","2","1","1","2","2","3","3","2","3","3","4","4","2"
"2026/01/28 5:19:28 PM GMT+5:30","15-19","Female","English medium","3","3","2","2","3","3","3","3","2","3","2","3","3","2"
"2026/01/28 5:20:02 PM GMT+5:30","15-19","Male","English medium","2","3","3","1","1","2","2","2","2","2","4","2","2","2"
"2026/01/28 5:20:56 PM GMT+5:30","15-19","Male","English medium","3","3","2","3","3","3","3","3","3","3","4","4","3","4"
"2026/01/28 5:43:18 PM GMT+5:30","15-19","Female","English medium","2","2","3","2","1","2","3","3","1","2","2","2","3","1"
"2026/01/28 5:53:58 PM GMT+5:30","10-14","Male","English medium","3","3","4","2","4","3","2","3","3","3","3","3","3","3"
"2026/01/28 5:58:44 PM GMT+5:30","10-14","Female","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/28 6:07:24 PM GMT+5:30","10-14","Female","English medium","2","3","2","2","3","2","3","2","2","2","3","3","3","3"
"2026/01/28 6:10:55 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/28 6:13:41 PM GMT+5:30","15-19","Female","English medium","3","3","2","2","3","1","3","2","1","1","2","3","3","2"
"2026/01/28 6:21:32 PM GMT+5:30","15-19","Male","English medium","2","2","2","2","1","2","3","3","3","2","2","3","2","3"
"2026/01/28 6:23:43 PM GMT+5:30","10-14","Male","English medium","2","2","3","2","3","3","3","3","3","3","3","3","3","3"
"2026/01/28 6:31:11 PM GMT+5:30","15-19","Male","English medium","3","3","2","4","2","4","3","3","2","2","4","2","4","5"
"2026/01/28 6:51:59 PM GMT+5:30","20-25","Male","Both","2","4","2","2","5","1","3","1","3","3","4","5","5","2"
"2026/01/28 6:56:05 PM GMT+5:30","15-19","Female","English medium","2","2","3","2","2","3","3","3","2","3","4","3","3","4"
"2026/01/28 6:57:17 PM GMT+5:30","10-14","Female","English medium","3","3","4","3","3","4","4","4","4","3","4","4","4","4"
"2026/01/28 7:00:04 PM GMT+5:30","15-19","Female","English medium","1","2","3","5","2","1","3","1","2","3","5","4","3","4"
"2026/01/28 7:03:51 PM GMT+5:30","15-19","Male","English medium","1","2","1","2","3","4","5","5","4","3","2","1","5","4"
"2026/01/28 7:03:55 PM GMT+5:30","10-14","Male","English medium","2","1","2","3","2","3","2","2","3","2","3","2","3","2"
"2026/01/28 7:06:24 PM GMT+5:30","15-19","Male","Telugu medium","1","2","1","1","1","1","1","1","1","4","1","1","1","1"
"2026/01/28 7:08:45 PM GMT+5:30","under 10","Male","Telugu medium","5","3","4","3","3","2","2","3","5","2","4","4","4","1"
"2026/01/28 7:16:47 PM GMT+5:30","10-14","Male","Telugu medium","2","2","2","1","2","2","3","2","3","2","1","1","1","1"
"2026/01/28 7:27:51 PM GMT+5:30","15-19","Male","English medium","3","3","4","4","3","4","4","4","3","3","4","4","4","3"
"2026/01/28 7:34:59 PM GMT+5:30","15-19","Female","English medium","2","2","3","1","2","2","3","4","2","2","4","3","2","4"
"2026/01/28 7:36:51 PM GMT+5:30","10-14","Female","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/28 7:39:04 PM GMT+5:30","15-19","Female","English medium","4","4","4","2","4","2","2","2","2","2","2","2","2","2"
"2026/01/28 7:40:35 PM GMT+5:30","20-25","Male","English medium","2","4","2","2","4","2","2","2","2","2","2","2","2","2"
"2026/01/28 7:41:56 PM GMT+5:30","15-19","Female","English medium","1","2","2","1","2","2","3","2","1","2","2","2","3","2"
"2026/01/28 7:42:13 PM GMT+5:30","15-19","Female","English medium","2","2","2","2","2","2","3","4","2","3","3","4","3","4"
"2026/01/28 8:39:04 PM GMT+5:30","15-19","Male","English medium","3","4","2","3","2","1","1","3","3","5","4","3","3","3"
"2026/01/28 8:39:48 PM GMT+5:30","10-14","Female","English medium","3","4","2","3","3","3","2","4","1","4","3","3","2","3"
"2026/01/28 9:28:23 PM GMT+5:30","15-19","Female","English medium","2","2","2","3","3","2","2","3","4","3","3","4","3","4"
"2026/01/28 11:18:50 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","5","1","1","1","1","1"
"2026/01/28 11:24:44 PM GMT+5:30","20-25","Male","English medium","3","4","3","3","3","4","3","4","3","3","2","3","3","3"
"2026/01/29 7:17:52 AM GMT+5:30","15-19","Male","English medium","3","3","2","2","3","3","3","4","3","2","2","4","5","1"
"2026/01/29 7:18:19 AM GMT+5:30","20-25","Male","English medium","2","2","3","2","4","3","2","2","4","3","3","3","4","3"
"2026/01/29 7:18:49 AM GMT+5:30","15-19","Male","English medium","3","2","2","2","2","3","3","3","2","2","3","4","2","2"
"2026/01/29 7:42:08 AM GMT+5:30","15-19","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","3","2"
"2026/01/29 7:50:56 AM GMT+5:30","10-14","Male","English medium","3","2","1","2","2","1","2","2","1","2","4","2","3","2"
"2026/01/29 4:05:49 PM GMT+5:30","15-19","Male","English medium","2","3","2","3","3","3","4","3","3","2","3","2","3","4"
"2026/01/29 4:28:10 PM GMT+5:30","10-14","Male","Telugu medium","1","2","1","1","1","4","2","4","3","5","4","4","3","3"
"2026/01/29 4:31:57 PM GMT+5:30","15-19","Male","English medium","3","4","3","3","5","4","4","2","3","2","4","3","4","5"
"2026/01/29 5:13:49 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/29 5:48:17 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","1","1","2","1","1","1","1","1","1","2"
"2026/01/29 6:26:21 PM GMT+5:30","15-19","Male","English medium","4","4","4","4","4","5","4","4","3","4","3","5","2","4"
"2026/01/29 9:17:47 PM GMT+5:30","15-19","Male","English medium","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/30 6:07:44 AM GMT+5:30","15-19","Female","English medium","2","2","3","2","2","2","3","2","1","2","2","2","2","2"
"2026/01/30 2:30:19 PM GMT+5:30","15-19","Female","English medium","2","2","2","2","1","2","3","1","2","2","4","5","5","5"
"2026/01/30 3:04:37 PM GMT+5:30","20-25","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/01/30 3:14:22 PM GMT+5:30","20-25","Male","English medium","5","4","2","3","3","4","4","5","3","2","2","4","4","4"
"2026/01/30 5:37:40 PM GMT+5:30","20-25","Male","English medium","1","2","1","1","1","1","3","1","5","1","3","4","2","2"
"2026/01/30 7:47:10 PM GMT+5:30","10-14","Male","English medium","2","2","2","2","2","2","3","2","3","4","2","2","2","3"
"2026/01/30 7:54:10 PM GMT+5:30","15-19","Male","English medium","1","1","2","1","1","1","1","1","1","1","3","2","2","2"
"2026/01/30 8:11:12 PM GMT+5:30","15-19","Male","English medium","1","2","1","1","2","2","2","1","3","3","3","3","3","2"
"2026/01/30 8:17:18 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","3","2","4","1","5","1","3","2","2","1"
"2026/01/30 8:30:24 PM GMT+5:30","10-14","Male","English medium","2","3","2","2","3","3","2","2","2","3","2","3","2","3"
"2026/01/30 9:00:21 PM GMT+5:30","10-14","Female","English medium","3","2","3","3","2","2","3","3","2","3","3","2","3","2"
"2026/01/30 9:01:38 PM GMT+5:30","20-25","Male","Telugu medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/01/30 9:02:33 PM GMT+5:30","10-14","Female","English medium","3","3","3","2","2","2","3","3","2","3","3","2","3","2"
"2026/01/30 9:02:34 PM GMT+5:30","10-14","Male","English medium","3","2","3","5","5","4","2","1","1","2","3","2","2","2"
"2026/01/30 9:24:15 PM GMT+5:30","10-14","Male","English medium","3","4","2","4","4","4","3","3","3","3","3","3","3","3"
"2026/01/30 9:24:50 PM GMT+5:30","under 10","Female","English medium","1","2","3","3","3","2","3","2","3","2","3","3","3","2"
"2026/01/30 9:25:33 PM GMT+5:30","20-25","Male","English medium","1","2","2","2","3","3","3","2","3","2","3","3","3","2"
"2026/01/30 9:26:04 PM GMT+5:30","Above 25","Female","English medium","2","3","3","3","3","3","2","3","4","4","3","3","2","3"
"2026/01/30 9:26:35 PM GMT+5:30","15-19","Male","English medium","1","2","3","3","3","3","4","3","3","2","4","2","4","3"
"2026/01/30 9:27:01 PM GMT+5:30","Above 25","Male","English medium","2","4","2","5","4","2","1","5","1","5","4","3","3","3"
"2026/01/30 9:28:46 PM GMT+5:30","20-25","Female","Both","1","4","3","2","4","2","3","3","5","5","2","3","3","2"
"2026/01/30 9:39:22 PM GMT+5:30","10-14","Male","English medium","5","3","5","5","4","5","5","5","5","5","5","3","4","1"
"2026/01/30 9:42:14 PM GMT+5:30","10-14","Male","English medium","5","3","5","5","3","5","5","5","5","5","5","5","4","5"
"2026/01/31 12:12:31 AM GMT+5:30","20-25","Female","English medium","1","2","1","1","1","1","3","5","5","1","3","1","2","1"
"2026/01/31 5:45:55 AM GMT+5:30","15-19","Female","English medium","2","2","2","3","2","3","4","4","2","3","3","3","2","3"
"2026/01/31 7:01:57 AM GMT+5:30","15-19","Female","English medium","1","2","1","1","2","2","2","2","2","2","2","2","2","2"
"2026/01/31 7:26:54 AM GMT+5:30","15-19","Male","English medium","5","3","3","3","3","3","3","4","4","3","2","5","2","4"
"2026/01/31 2:58:31 PM GMT+5:30","15-19","Male","English medium","4","3","4","4","3","4","4","4","5","4","4","4","4","4"
"2026/01/31 10:43:33 PM GMT+5:30","20-25","Male","English medium","1","3","2","1","3","2","2","1","2","4","4","5","3","4"
"2026/02/01 11:17:51 AM GMT+5:30","15-19","Female","Both","2","3","2","2","3","3","2","2","3","2","3","3","3","2"
"2026/02/01 11:19:35 AM GMT+5:30","15-19","Female","Both","2","3","2","2","3","3","2","2","3","2","3","3","3","2"
"2026/02/01 11:20:52 AM GMT+5:30","15-19","Female","Both","2","3","2","2","3","3","2","2","3","2","3","3","3","2"
"2026/02/01 2:52:19 PM GMT+5:30","15-19","Female","English medium","1","2","1","3","2","2","3","3","1","2","1","1","2","1"
"2026/02/01 2:55:01 PM GMT+5:30","10-14","Male","Both","1","2","1","1","2","2","2","3","1","2","2","2","3","1"
"2026/02/02 11:30:41 AM GMT+5:30","Above 25","Male","English medium","4","4","4","4","4","4","5","5","4","4","4","4","4","4"
"2026/02/02 4:59:19 PM GMT+5:30","10-14","Male","Both","3","1","1","1","2","2","4","5","1","1","2","3","3","3"
"2026/02/02 5:06:26 PM GMT+5:30","15-19","Female","Both","1","1","1","2","2","1","3","3","1","2","2","1","2","1"
"2026/02/02 7:58:22 PM GMT+5:30","10-14","Female","English medium","1","2","2","2","2","3","2","3","3","3","2","3","1","2"
"2026/02/02 7:59:45 PM GMT+5:30","10-14","Female","English medium","2","2","2","1","2","3","3","3","2","2","2","2","3","2"
"2026/02/02 8:36:18 PM GMT+5:30","15-19","Male","English medium","2","2","2","2","3","2","4","2","3","3","4","3","4","4"
"2026/02/02 8:38:01 PM GMT+5:30","15-19","Female","English medium","3","2","1","1","1","3","4","4","1","2","4","3","3","2"
"2026/02/02 9:24:22 PM GMT+5:30","15-19","Female","English medium","1","2","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/03 6:09:19 AM GMT+5:30","10-14","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/02/03 6:13:38 AM GMT+5:30","10-14","Female","English medium","1","2","2","4","4","3","4","3","4","4","4","3","2","4"
"2026/02/03 6:14:50 AM GMT+5:30","10-14","Female","English medium","4","4","4","3","3","3","4","3","4","4","4","3","3","3"
"2026/02/03 10:49:09 AM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/03 12:46:19 PM GMT+5:30","under 10","Female","Telugu medium","2","4","2","3","4","5","4","2","4","4","4","5","4","4"
"2026/02/03 5:23:27 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","2","1","1","1","5","5","5","1"
"2026/02/03 5:24:22 PM GMT+5:30","Above 25","Male","English medium","2","3","3","2","3","2","2","2","2","2","3","2","2","2"
"2026/02/03 5:25:22 PM GMT+5:30","20-25","Male","English medium","5","5","5","5","5","5","5","5","5","4","4","5","5","5"
"2026/02/03 5:25:45 PM GMT+5:30","Above 25","Female","English medium","2","3","1","1","2","1","3","4","2","1","3","3","3","4"
"2026/02/03 6:05:17 PM GMT+5:30","20-25","Male","English medium","3","3","4","4","3","4","3","3","3","3","3","3","3","3"
"2026/02/03 7:06:13 PM GMT+5:30","20-25","Male","English medium","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
"2026/02/04 3:32:59 PM GMT+5:30","20-25","Male","English medium","2","3","3","2","3","3","2","1","1","3","3","2","3","2"
"2026/02/04 3:33:18 PM GMT+5:30","15-19","Male","English medium","2","3","2","3","3","3","3","2","2","3","3","4","3","3"
"2026/02/04 3:40:43 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","2","1","2","1","3","4","3","2"
"2026/02/04 5:15:12 PM GMT+5:30","15-19","Male","English medium","2","3","2","2","1","1","3","2","2","2","3","3","3","1"
"2026/02/05 10:57:12 AM GMT+5:30","20-25","Male","English medium","3","3","3","3","3","3","3","3","3","3","2","3","3","3"
"2026/02/05 10:59:11 AM GMT+5:30","20-25","Male","English medium","1","2","2","1","2","2","2","1","2","4","2","2","1","5"
"2026/02/05 11:12:03 AM GMT+5:30","20-25","Male","English medium","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/02/05 2:43:49 PM GMT+5:30","10-14","Male","English medium","3","2","2","2","3","4","3","3","3","3","2","3","4","5"
"2026/02/05 2:46:11 PM GMT+5:30","15-19","Male","English medium","4","3","3","4","5","4","4","5","5","5","5","5","5","5"
"2026/02/05 2:46:57 PM GMT+5:30","20-25","Male","English medium","2","2","2","2","2","2","2","1","2","2","2","2","2","2"
"2026/02/05 2:48:48 PM GMT+5:30","20-25","Male","English medium","3","3","3","3","5","5","5","5","5","5","5","5","5","5"
"2026/02/05 2:50:27 PM GMT+5:30","20-25","Female","English medium","3","3","3","3","3","3","3","3","3","3","4","3","4","4"
"2026/02/05 2:53:14 PM GMT+5:30","15-19","Male","English medium","1","1","1","1","1","1","1","1","5","1","1","1","1","1"
"2026/02/05 2:58:46 PM GMT+5:30","20-25","Female","English medium","1","3","3","2","3","3","3","2","2","2","2","2","2","3"
"2026/02/05 3:00:38 PM GMT+5:30","20-25","Male","English medium","1","3","2","2","1","2","1","1","1","1","1","1","1","1"
"2026/02/05 3:05:57 PM GMT+5:30","20-25","Male","English medium","1","4","3","1","4","3","1","4","3","3","1","3","4","3"
"2026/02/05 3:06:06 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/05 3:10:05 PM GMT+5:30","20-25","Male","English medium","1","3","1","1","2","1","3","1","5","1","1","1","1","1"
"2026/02/05 3:12:29 PM GMT+5:30","20-25","Male","English medium","3","3","2","2","3","2","2","1","2","2","2","3","3","2"
"2026/02/05 3:15:11 PM GMT+5:30","20-25","Male","English medium","1","3","1","1","2","2","2","1","5","3","4","3","2","3"
"2026/02/05 3:20:14 PM GMT+5:30","15-19","Male","English medium","3","3","2","2","2","2","2","2","1","2","1","2","2","2"
"2026/02/05 3:21:13 PM GMT+5:30","15-19","Male","English medium","4","4","4","4","5","5","5","5","4","4","4","4","4","4"
"2026/02/05 3:21:16 PM GMT+5:30","20-25","Male","Both","2","2","2","2","3","2","3","3","2","3","2","2","2","2"
"2026/02/05 3:24:04 PM GMT+5:30","20-25","Male","English medium","2","4","2","1","1","1","4","3","4","1","1","3","3","2"
"2026/02/05 3:27:43 PM GMT+5:30","20-25","Male","English medium","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/05 3:31:58 PM GMT+5:30","20-25","Male","English medium","2","2","2","2","2","2","2","2","2","4","3","2","3","2"
"2026/02/05 3:32:58 PM GMT+5:30","15-19","Male","Both","3","4","3","4","3","4","3","4","3","4","3","4","3","3"
"2026/02/05 3:33:14 PM GMT+5:30","15-19","Male","English medium","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2026/02/05 3:33:39 PM GMT+5:30","15-19","Male","Both","3","4","3","4","3","4","3","4","3","4","3","4","3","4"
"2026/02/05 3:35:21 PM GMT+5:30","20-25","Male","English medium","1","3","3","5","3","4","3","3","5","1","5","5","5","4"
"2026/02/05 3:40:33 PM GMT+5:30","15-19","Female","English medium","2","2","2","2","2","2","3","2","2","2","2","2","2","2"
"2026/02/05 3:41:14 PM GMT+5:30","15-19","Male","English medium","3","4","3","3","4","4","5","5","4","5","5","5","5","4"
"2026/02/05 3:41:44 PM GMT+5:30","20-25","Male","English medium","3","4","3","2","2","3","3","3","3","2","4","3","2","2"
"2026/02/05 3:45:42 PM GMT+5:30","20-25","Male","English medium","2","1","1","1","1","1","1","2","5","3","3","3","3","3"
"2026/02/05 3:46:51 PM GMT+5:30","15-19","Male","English medium","1","2","1","1","1","1","3","1","3","1","1","4","2","2"
"2026/02/05 3:47:29 PM GMT+5:30","15-19","Male","English medium","2","2","2","2","2","1","4","3","2","2","3","3","3","1"
"2026/02/05 3:49:08 PM GMT+5:30","20-25","Male","English medium","1","3","1","1","1","1","1","1","5","1","1","1","1","1"
